attributeName	attributeDefinition	class	unit	dateTimeFormatString	missingValueCode	missingValueCodeExplanation
YEAR	Year of growth: 2011-2015	Date		YYYY	-99999	Missing value
NTRT	Field experimental N treatments were made with 8 applications per plot per year between mid May and mid August of each year	categorical			-99999	Missing value
ARM	Experimental plots were located along 3 arms; each arm had one replicate each of 8 N treatments	categorical			-99999	Missing value
NET_PRIMARY_PRODUCTION	The product of moss linear growth of stems (cm yr-1) and stem mass density (SMD)	numeric	gramsPerMeterSquaredPerYear		-99999	Missing value
STEM_MASS_DENSITY	Mass of 1-cm lengths of Sphagnum stems beneath the capitula per m2	numeric	gramsPerSquaredMeterPerCentimeter		-99999	Missing value
PLANT_DENSITY	Number of plants/area	numeric	numberPerMeterSquared		-99999	Missing value
STEM_N_CONCENTRATION	N concentration in the 0-2 cm stem sections	numeric	milligramsPerGram		-99999	Missing value
N_ASSIMILATED	Amount of N used and stored per area of moss cover per year	numeric	gramsPerMeterSquaredPerYear		-99999	Missing value
